 title, type, socket, performance, cores, year, price, power
Ryzen Threadripper PRO 7995WX,десктопный,sTR5,100.00,96 / 192,2023,11150 USD,350 W
Ryzen Threadripper PRO 7985WX,серверный,AMD Socket sTR5,88.40,64 / 128,−,8089 USD,350 W
Ryzen Threadripper 7980X,десктопный,AMD Socket sTR5,88.14,64 / 128,−,4999 USD,350 W
EPYC 9654,серверный,AMD Socket SP5,78.98,96 / 192,2022,4544 USD,360 W
EPYC 9654P,серверный,AMD Socket SP5,73.67,96 / 192,2022,5987 USD,360 W
EPYC 9554,серверный,AMD Socket SP5,72.17,64 / 128,2022,2590 USD,360 W
EPYC 9554P,серверный,AMD Socket SP5,71.02,64 / 128,2022,−,360 W
EPYC 9634,серверный,AMD Socket SP5,69.79,84 / 168,2022,5678 USD,290 W
EPYC 9474F,серверный,AMD Socket SP5,67.88,48 / 96,2022,4390 USD,360 W
Ryzen Threadripper 7970X,десктопный,AMD Socket sTR5,63.16,32 / 64,−,2499 USD,350 W
EPYC 9454P,серверный,AMD Socket SP5,62.12,48 / 96,2022,−,290 W
Ryzen Threadripper PRO 7975WX,серверный,AMD Socket sTR5,61.00,32 / 64,−,3899 USD,350 W
EPYC 9754,серверный,AMD Socket SP5,60.63,128 / 256,2023,6294 USD,360 W
Ryzen Threadripper PRO 5995WX,серверный,AMD Socket WRX8,60.25,64 / 128,2022,5495 USD,280 W
Xeon Platinum 8368,серверный,Intel Socket 4189,59.51,38 / 76,2021,12855 USD,270 W
EPYC 7773X,серверный,AMD Socket SP3,59.15,64 / 128,2022,6590 USD,280 W
Xeon w9-3495X,серверный,Intel Socket 4677,58.53,56 / 112,2023,−,350 W
Xeon Platinum 8470,серверный,Intel Socket 4677,58.09,52 / 104,2023,−,350 W
EPYC 9534,серверный,AMD Socket SP5,57.36,64 / 128,2022,4755 USD,280 W
Xeon Max 9480,серверный,Intel Socket 4677,56.52,56 / 112,2023,−,350 W
EPYC 7763,серверный,AMD Socket SP3,54.64,64 / 128,2021,13298 USD,280 W
Ryzen Threadripper PRO 3995WX,десктопный,sWRX8,54.12,64 / 128,2020,6509 USD,280 W
Ryzen Threadripper 7960X,десктопный,AMD Socket sTR5,53.75,24 / 48,−,1469 USD,350 W
Ryzen Threadripper PRO 7965WX,серверный,AMD Socket sTR5,53.74,24 / 48,−,2649 USD,350 W
EPYC 7713,серверный,AMD Socket SP3,53.44,64 / 128,2021,10189 USD,225 W
EPYC 7663,серверный,AMD Socket SP3,52.98,56 / 112,2021,15069 USD,240 W
EPYC 7713P,серверный,AMD Socket SP3,51.96,64 / 128,2021,7679 USD,225 W
EPYC 9374F,серверный,AMD Socket SP5,51.67,32 / 64,2022,3995 USD,320 W
Ryzen Threadripper 3990X,десктопный,AMD Socket TR4,51.65,64 / 128,2020,4255 USD,280 W
EPYC 9354P,серверный,AMD Socket SP5,50.57,32 / 64,2022,−,280 W
EPYC 7643,серверный,AMD Socket SP3,49.43,48 / 96,2021,8164 USD,225 W
Ryzen Threadripper PRO 5975WX,серверный,AMD Socket WRX8,49.14,32 / 64,2022,2799 USD,280 W
Xeon Platinum 8461V,серверный,Intel Socket 4677,48.48,48 / 96,2023,−,300 W
EPYC 9274F,серверный,AMD Socket SP5,47.49,24 / 48,2022,2995 USD,320 W
EPYC 7662,серверный,Socket SP3,46.97,64 / 128,2020,−,225 W
EPYC 7702,серверный,AMD Socket TR4,45.17,64 / 128,2019,8948 USD,200 W
