Название видеокарты,Видеопамять,Тип видеопамяти,Эффективная частота памяти,Пропускная способность памяти,Ширина шины памяти,Поддержка DirectX,Поддержка SLI/CrossFire,Разъёмы питания,Охлаждение,Количество вентиляторов,Длина видеокарты,Высота видеокарты,Базовая (референсная) частота графического процессора,Максимальная частота графического процессора,Количество потоковых процессоров,Количество RT-ядер,Рекомендуемый блок питания,Толщина системы охлаждения,Толщина видеокарты,Низкопрофильная (Low Profile),Функциональные особенности,Энергопотребление,Частота графического процессора,Частота памяти,Мощность блока питания,Turbo-частота графического процессора,Максимальное энергопотребление,Энергопортебление
Видеокарта Gigabyte GeForce RTX 3060 Gaming OC 12GB GDDR6 GV-N3060GAMING OC-12GD,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,активное,3,282 мм,117 мм,,,,,,,,,,,,,,,,
Видеокарта Gigabyte GeForce RTX 3050 OC Low Profile 6G GV-N3050OC-6GL,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,181 мм,69 мм,1 040 МГц,1 477 МГц,2 304,18,300 Вт,2 слота,36 мм,Да,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта AFOX GeForce GT 1030 2GB GDDR5 AF1030-2048D5L7,2 ГБ,GDDR5,6 000 МГц,,64 бит,12,Нет,Нет,воздушное,1,,,1 227 МГц,1 468 МГц,384,,,1 слот,,Да,,,,,,,,
Видеокарта Gigabyte GeForce RTX 4070 Ti Windforce OC 12G GV-N407TWF3OC-12GD,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,Нет,16 pin,воздушное,3,261 мм,126 мм,2 310 МГц,2 625 МГц,7 680,60,750 Вт,2.2 слота,50 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Gaming OC 8G (rev. 2.0) GV-N3060GAMING OC-8GD 2.0,8 ГБ,GDDR6,15 000 МГц,240 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 807 МГц,3 584,28,550 Вт,2 слота,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Palit GeForce RTX 3050 StormX NE63050018P1-1070F,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,6 pin,воздушное,1,162 мм,117 мм,1 550 МГц,1 777 МГц,2 560,20,550 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",115 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 OC Low Profile 8GB GV-N4060OC-8GL,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,3,182 мм,69 мм,1 830 МГц,2 475 МГц,3 072,24,450 Вт,2 слота,40 мм,Да,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Windforce OC 12G GV-N3060WF2OC-12GD,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 792 МГц,3 584,28,550 Вт,2 слота,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта ASUS Phoenix GeForce RTX 3050 8GB PH-RTX3050-8G,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,активное,1,177 мм,128 мм,1 550 МГц,1 807 МГц,2 560,,550 Вт,2.5 слота,,Нет,,,,,,,,
Видеокарта Palit GeForce RTX 4080 GamingPro NED4080019T2-1032A,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,Нет,16 pin,воздушное,3,328.9 мм,132.9 мм,2 210 МГц,2 505 МГц,9 728,76,850 Вт,3 слота,63.4 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Ti Gaming OC 16G GV-N406TGAMING OC-16GD,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,3,281 мм,117 мм,2 310 МГц,2 595 МГц,4 352,34,500 Вт,2.3 слота,53 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 4070 Ti Super GamingPro OC 16GB NED47TSH19T2-1043A,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,,,2 340 МГц,,8 448,66,700 Вт,3.1 слота,,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Windforce OC 12G GV-N3060WF2OC-12GD (rev. 2.0),12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 792 МГц,3 584,28,550 Вт,,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gigabyte GeForce RTX 4070 Ti Gaming OC V2 12G GV-N407TGAMING OCV2-12GD,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,300 мм,130 мм,2 310 МГц,2 640 МГц,7 680,60,750 Вт,3 слота,57.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 3050 StormX 6GB NE63050018JE-1070F,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,162 мм,117 мм,1 040 МГц,1 470 МГц,2 304,18,300 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",70 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Ti Gaming OC 8G GV-N406TGAMING OC-8GD,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,281 мм,117 мм,2 310 МГц,2 580 МГц,4 352,34,500 Вт,2 слота,53 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 3060 OC Edition 8GB GDDR6 DUAL-RTX3060-O8G,8 ГБ,GDDR6,15 000 МГц,360 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,200 мм,123 мм,1 320 МГц,1 867 МГц (в режиме Boost),3 584,28,650 Вт,2 слота,38 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Eagle OC 8G GV-N4060EAGLE OC-8GD,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,272 мм,115 мм,1 830 МГц,2 505 МГц,3 072,24,450 Вт,2 слота,40 мм,Нет,поддержка DLSS,,,,,,,
